PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
Karl-Anthony Towns,Calf area,MIN,112," $27,507,998.50 ",1," $27,507,998.50 "," $45,154,639.00 "," $27,507,998.50 "
Blake Griffin,Ankle area,LAC,287," $24,859,982.00 ",1," $24,859,982.00 "," $42,469,136.00 "," $24,859,982.00 "
Al Horford,Unclassified,PHI,104," $24,103,514.60 ",1," $24,103,514.60 "," $30,617,978.00 "," $24,103,514.60 "
Kevin Durant,Heel area,GSW,279," $23,511,353.30 ",1," $23,511,353.30 "," $37,048,193.00 "," $23,511,353.30 "
James Harden,Foot area,BKN & NJN,62," $23,436,825.90 ",1," $23,436,825.90 "," $35,360,825.00 "," $23,436,825.90 "
Zion Williamson,Thigh area,NOH & NOK & NOP,-1," $21,838,068.70 ",1," $21,838,068.70 "," $39,793,814.00 "," $21,838,068.70 "
Danny Green,Hip area,SAS,151.67," $21,378,269.80 ",1," $21,378,269.80 "," $17,857,143.00 "," $21,378,269.80 "
Julius Randle,Thigh area,NOH & NOK & NOP,278," $21,308,823.40 ",1," $21,308,823.40 "," $24,352,941.00 "," $21,308,823.40 "
Peja Stojakovic,Thoracolumbar area,IND,189.5," $20,968,329.50 ",1," $20,968,329.50 "," $19,104,478.00 "," $20,968,329.50 "
Harrison Barnes,Rest,DAL,302," $20,677,678.00 ",1," $20,677,678.00 "," $29,746,835.00 "," $20,677,678.00 "
Mike Bibby,Unclassified,SAC,202.5," $20,345,242.10 ",1," $20,345,242.10 "," $16,197,183.00 "," $20,345,242.10 "
Chris Paul,"Hand, Thumb & Fingers area",HOU,179," $20,242,347.00 ",1," $20,242,347.00 "," $47,232,143.00 "," $20,242,347.00 "
JR Smith,Heel area,LAL,164.5," $20,226,648.70 ",1," $20,226,648.70 "," $16,964,286.00 "," $20,226,648.70 "
DeMar DeRozan,Unclassified,SAS,108," $20,188,179.40 ",1," $20,188,179.40 "," $31,835,206.00 "," $20,188,179.40 "
Paul George,Knee area,IND,182," $19,975,030.80 ",1," $19,975,030.80 "," $19,753,086.00 "," $19,975,030.80 "
Kent Bazemore,Calf area,ATL,259," $19,616,204.80 ",1," $19,616,204.80 "," $21,904,762.00 "," $19,616,204.80 "
Luol Deng,Ankle area,LAL,341," $19,512,194.90 ",1," $19,512,194.90 "," $22,222,222.00 "," $19,512,194.90 "
Timofey Mozgov,Knee area,CLE,37.5," $19,042,021.30 ",1," $19,042,021.30 "," $19,277,108.00 "," $19,042,021.30 "
Anthony Davis,Calf area,LAL,33.5," $18,904,072.40 ",1," $18,904,072.40 "," $44,682,353.00 "," $18,904,072.40 "
Elton Brand,Heel area,LAC,121.5," $18,427,188.10 ",1," $18,427,188.10 "," $20,147,059.00 "," $18,427,188.10 "
Kevin Durant,Thigh area,BKN & NJN,15.5," $18,408,963.40 ",1," $18,408,963.40 "," $48,323,529.00 "," $18,408,963.40 "
Andre Drummond,Heel area,DET,285," $18,398,072.60 ",1," $18,398,072.60 "," $32,098,765.00 "," $18,398,072.60 "
Bojan Bogdanovic,Ankle area,IND,206," $18,082,869.20 ",1," $18,082,869.20 "," $21,755,952.00 "," $18,082,869.20 "
LeBron James,Abdominal area,CLE,145.6," $70,961,885.60 ",2," $35,480,942.80 "," $44,192,484.20 "," $17,740,471.40 "
Zach Randolph,"Hand, Thumb & Fingers area",POR,337," $17,582,817.30 ",1," $17,582,817.30 "," $20,895,522.00 "," $17,582,817.30 "
Elton Brand,Shoulder area,PHI,165.5," $17,564,340.60 ",1," $17,564,340.60 "," $20,887,324.00 "," $17,564,340.60 "
Theo Ratliff,Neck,POR,180," $17,473,607.80 ",1," $17,473,607.80 "," $17,910,448.00 "," $17,473,607.80 "
Kevin Garnett,Thigh area,MIN,291," $17,473,607.40 ",1," $17,473,607.40 "," $29,850,746.00 "," $17,473,607.40 "
Antawn Jamison,"Hand, Thumb & Fingers area",CLE,412," $17,361,111.00 ",1," $17,361,111.00 "," $17,361,111.00 "," $17,361,111.00 "
Paul Millsap,Wrist area,DEN,100," $17,360,232.80 ",1," $17,360,232.80 "," $30,946,502.00 "," $17,360,232.80 "
Michael Kidd-Gilchrist,Shoulder area,CHA & CHH,129.67," $17,228,464.80 ",1," $17,228,464.80 "," $16,666,667.00 "," $17,228,464.80 "
Stephon Marbury,Ankle area,NYK,314," $17,158,062.30 ",1," $17,158,062.30 "," $23,449,351.90 "," $17,158,062.30 "
Gordon Hayward,Heel area,UTA,336," $16,991,088.40 ",1," $16,991,088.40 "," $20,192,308.00 "," $16,991,088.40 "
Vince Carter,Ankle area,BKN & NJN,100.33," $16,517,216.30 ",1," $16,517,216.30 "," $22,573,529.00 "," $16,517,216.30 "
